vuonna vuon‧na
säätää sää‧tää
lähteä läh‧te‧ä
vuosi vuo‧si
vastaa vas‧taa
tehtävä teh‧tä‧vä
pakko pak‧ko
lapsi lap‧si
kirjoittaa kir‧joit‧taa
tulos tu‧los
toteuttaa to‧te‧ut‧taa
käydä käy‧dä
johtaa joh‧taa
isä i‧sä
henkilö hen‧ki‧lö
työtä työ‧tä
sellainen sel‧lai‧nen
nähdä näh‧dä
kuningas ku‧nin‧gas
aiheuttaa ai‧he‧ut‧taa
yliopisto y‧li‧o‧pis‧to
tunne tun‧ne
tarvittaessa tar‧vit‧ta‧es‧sa
presidentti pre‧si‧dent‧ti
musta mus‧ta
kuoli kuo‧li
ihminen ih‧mi‧nen
ensi en‧si
todeta to‧de‧ta
osoittaa o‧soit‧taa
ongelma on‧gel‧ma
valita va‧li‧ta
sisältää si‧säl‧tää
piti pi‧ti
maa maa
käyttö käyt‧tö
jättää jät‧tää
asioita a‧si‧oi‧ta
tällainen täl‧lai‧nen
tutkimus tut‧ki‧mus
tuo tuo
pyytää pyy‧tää
puhua pu‧hu‧a
muuttaa muut‧taa
käy käy
kolmas kol‧mas
kasvaa kas‧vaa
hyvän hy‧vän
helppo help‧po
yritys y‧ri‧tys
yhtiö yh‧ti‧ö
vanhus van‧hus
vahvistaa vah‧vis‧taa
tukea tu‧ke‧a
toiminta toi‧min‧ta
saadaan saa‧daan
poliisi po‧lii‧si
kuulla kuul‧la
jäädä jää‧dä
hinta hin‧ta
alusta a‧lus‧ta
ajatella a‧ja‧tel‧la
vuosia vuo‧si‧a
vallan val‧lan
peli pe‧li
maata maa‧ta
lasta las‧ta
laski las‧ki
käsitellään kä‧si‧tel‧lään
kehittää ke‧hit‧tää
herra her‧ra
aurinko au‧rin‧ko
ajaa a‧jaa
yhteinen yh‧tei‧nen
teksti teks‧ti
tee tee
päättää päät‧tää
ostaa os‧taa
onnistunut on‧nis‧tu‧nut
oikeus oi‧ke‧us
lukea lu‧ke‧a
joukko jouk‧ko
en en
viimeinen vii‧mei‧nen
vei vei
tyytyväinen tyy‧ty‧väi‧nen
tehtiin teh‧tiin
soveltaa so‧vel‧taa
ota o‧ta
oikea oi‧ke‧a
kertoa ker‧to‧a
katsoa kat‧so‧a
hyväksi hy‧väk‧si
huono huo‧no
elää e‧lää
yrittää y‧rit‧tää
välinen vä‧li‧nen
varma var‧ma
töitä töi‧tä
tieto tie‧to
riittää riit‧tää
olen o‧len
näen nä‧en
nuori nuo‧ri
mieli mie‧li
löytää löy‧tää
kiva ki‧va
keskustella kes‧kus‧tel‧la
kantaa kan‧taa
hyväksyä hy‧väk‧sy‧ä
hankkia hank‧ki‧a
auttaa aut‧taa
auto au‧to
arvioida ar‧vi‧oi‧da
apua a‧pu‧a
valkea val‧ke‧a
työ työ
tapahtuma ta‧pah‧tu‧ma
syy syy
sopimus so‧pi‧mus
rouva rou‧va
pysty pys‧ty
nostaa nos‧taa
maailma maa‧il‧ma
lopettaa lo‧pet‧taa
lisätä li‧sä‧tä
laittaa lait‧taa
kuva ku‧va
eurooppalainen eu‧roop‧pa‧lai‧nen
estää es‧tää
viedä vie‧dä
varsinainen var‧si‧nai‧nen
valo va‧lo
valmis val‧mis
vaimo vai‧mo
toimittaa toi‧mit‧taa
taso ta‧so
tapa ta‧pa
sauna sau‧na
ryhtyä ryh‧ty‧ä
pieniä pie‧ni‧ä
pelata pe‧la‧ta
parantaa pa‧ran‧taa
määritellä mää‧ri‧tel‧lä
myöntää myön‧tää
kysyä ky‧sy‧ä
kylmä kyl‧mä
kohta koh‧ta
kirja kir‧ja
juna ju‧na
harmaa har‧maa
asiakas a‧si‧a‧kas
anna an‧na
alue a‧lu‧e
ymmärtää ym‧mär‧tää
viikko viik‧ko
vesi ve‧si
vanhemmat van‧hem‧mat
valinta va‧lin‧ta
vaihtaa vaih‧taa
soittaa soit‧taa
sanotaan sa‧no‧taan
saavuttaa saa‧vut‧taa
ruoka ruo‧ka
pikku pik‧ku
osallistua o‧sal‧lis‧tu‧a
olo o‧lo
nauttia naut‧ti‧a
määrittää mää‧rit‧tää
matka mat‧ka
lähetti lä‧het‧ti
järjestää jär‧jes‧tää
asema a‧se‧ma
aloittaa a‧loit‧taa
aamu aa‧mu
ylittää y‧lit‧tää
yhtye yh‧ty‧e
välttää vält‧tää
version ver‧si‧on
vastaus vas‧ta‧us
varmistaa var‧mis‧taa
vahva vah‧va
toi toi
tarkistaa tar‧kis‧taa
tarjota tar‧jo‧ta
tapahtua ta‧pah‧tu‧a
puolue puo‧lu‧e
paikka paik‧ka
opettaja o‧pet‧ta‧ja
mukava mu‧ka‧va
massa mas‧sa
malli mal‧li
maku ma‧ku
loppua lop‧pu‧a
laskea las‧ke‧a
laji la‧ji
kaunis kau‧nis
järjestelmä jär‧jes‧tel‧mä
ilmoittaa il‧moit‧taa
hakea ha‧ke‧a
edustaa e‧dus‧taa
alakomitea a‧la‧ko‧mi‧te‧a
vähentää vä‧hen‧tää
vastata vas‧ta‧ta
valtio val‧ti‧o
valmistaa val‧mis‧taa
unohtaa u‧noh‧taa
tärkein tär‧kein
tuottaa tuot‧taa
tohtori toh‧to‧ri
teemme teem‧me
talo ta‧lo
syödä syö‧dä
syö syö
siirtyä siir‧ty‧ä
selvä sel‧vä
sellaisenaan sel‧lai‧se‧naan
sana sa‧na
ryhmä ryh‧mä
pysyä py‧sy‧ä
punainen pu‧nai‧nen
puhu pu‧hu
palaa pa‧laa
painaa pai‧naa
onnellinen on‧nel‧li‧nen
olisi o‧li‧si
näy näy
nähdään näh‧dään
musiikki mu‧siik‧ki
muistaa muis‧taa
moottori moot‧to‧ri
mieleen mie‧leen
makkara mak‧ka‧ra
mahdollinen mah‧dol‧li‧nen
luento lu‧en‧to
lopullinen lo‧pul‧li‧nen
liite lii‧te
laulaa lau‧laa
käsin kä‧sin
koti ko‧ti
korkein kor‧kein
kirjailija kir‧jai‧li‧ja
kiittää kiit‧tää
kansainvälinen kan‧sain‧vä‧li‧nen
ilta il‧ta
häpeä hä‧pe‧ä
heittää heit‧tää
edellyttää e‧del‧lyt‧tää
ystäväni ys‧tä‧vä‧ni
yhdistää yh‧dis‧tää
vastuu vas‧tuu
vapaa va‧paa
vanhin van‧hin
valtaa val‧taa
toivoa toi‧vo‧a
toimesta toi‧mes‧ta
todellinen to‧del‧li‧nen
taata taa‧ta
soi soi
selittää se‧lit‧tää
ryöväri ryö‧vä‧ri
riski ris‧ki
rakentaa ra‧ken‧taa
poliittinen po‧liit‧ti‧nen
ovi o‧vi
otettu o‧tet‧tu
oikeutta oi‧ke‧ut‧ta
ohjelma oh‧jel‧ma
mukainen mu‧kai‧nen
millainen mil‧lai‧nen
miettiä miet‧ti‧ä
lähde läh‧de
luoda luo‧da
lintu lin‧tu
käsitellä kä‧si‧tel‧lä
kiitos kii‧tos
kiinankaali kii‧nan‧kaa‧li
kieli kie‧li
kestää kes‧tää
keltainen kel‧tai‧nen
kauppa kaup‧pa
juo juo
ikävä i‧kä‧vä
ihana i‧ha‧na
hyötyä hyö‧ty‧ä
herättää he‧rät‧tää
hanke han‧ke
esimerkki e‧si‧merk‧ki
erottaa e‧rot‧taa
artikkeli ar‧tik‧ke‧li
annettava an‧net‧ta‧va
aloin a‧loin
aikuinen ai‧kui‧nen
yö yö
yleinen y‧lei‧nen
väite väi‧te
varaa va‧raa
valta val‧ta
valkoinen val‧koi‧nen
työttömyys työt‧tö‧myys
turha tur‧ha
tuntea tun‧te‧a
tunnistaa tun‧nis‧taa
tavoite ta‧voi‧te
tanssi tans‧si
syyttää syyt‧tää
sisäinen si‧säi‧nen
seurata seu‧ra‧ta
samanlainen sa‧man‧lai‧nen
runsas run‧sas
rehtori reh‧to‧ri
rajaa ra‧jaa
puuttua puut‧tu‧a
palkinto pal‧kin‧to
palata pa‧la‧ta
paha pa‧ha
osake o‧sa‧ke
opiskelija o‧pis‧ke‧li‧ja
onnitella on‧ni‧tel‧la
omistaa o‧mis‧taa
olosuhteet o‧lo‧suh‧teet
olleet ol‧leet
määrätä mää‧rä‧tä
merkki merk‧ki
laatia laa‧ti‧a
kuollut kuol‧lut
kone ko‧ne
kevät ke‧vät
keisari kei‧sa‧ri
keino kei‧no
kehitys ke‧hi‧tys
huutaa huu‧taa
huomata huo‧ma‧ta
huoli huo‧li
huolehtia huo‧leh‧ti‧a
edistää e‧dis‧tää
avata a‧va‧ta
asettaa a‧set‧taa
arvio ar‧vi‧o
ääni ää‧ni
yhteistyö yh‧teis‧työ
väärä vää‧rä
väri vä‧ri
viesti vies‧ti
veitsi veit‧si
vararehtori va‧ra‧reh‧to‧ri
vanhempi van‧hem‧pi
vaikutus vai‧ku‧tus
täyttää täyt‧tää
tyhjä tyh‧jä
tuomioistuin tuo‧mi‧o‧is‧tuin
tuoksu tuok‧su
tieltä tiel‧tä
tarve tar‧ve
tappaa tap‧paa
tapaus ta‧pa‧us
talvi tal‧vi
taito tai‧to
säilyttää säi‧lyt‧tää
single sing‧le
siirtää siir‧tää
seuraava seu‧raa‧va
seura seu‧ra
selkeä sel‧ke‧ä
saksalainen sak‧sa‧lai‧nen
sade sa‧de
saat saat
riitti riit‧ti
ratkaisu rat‧kai‧su
rakastan ra‧kas‧tan
pyrkiä pyr‧ki‧ä
puhdas puh‧das
prinssi prins‧si
pituus pi‧tuus
piste pis‧te
pinta-ala pin‧ta‧a‧la
pelkkä pelk‧kä
palvelu pal‧ve‧lu
paita pai‧ta
näyttelijä näyt‧te‧li‧jä
myydä myy‧dä
myy myy
metsä met‧sä
matkustaa mat‧kus‧taa
lupa lu‧pa
luottaa luot‧taa
lue lu‧e
liittyä liit‧ty‧ä
liikevaihto lii‧ke‧vaih‧to
kuuma kuu‧ma
kuulua kuu‧lu‧a
kuorma-auto kuor‧ma‧au‧to
kulttuuri kult‧tuu‧ri
kriisi krii‧si
korvata kor‧va‧ta
korjata kor‧ja‧ta
komitea ko‧mi‧te‧a
kokea ko‧ke‧a
kiinnittää kiin‧nit‧tää
kesä ke‧sä
keskittyä kes‧kit‧ty‧ä
keitä kei‧tä
kattaa kat‧taa
jakaa ja‧kaa
ilma il‧ma
heikko heik‧ko
et et
erilainen e‧ri‧lai‧nen
enemmistö e‧nem‧mis‧tö
edustaja e‧dus‧ta‧ja
asunto a‧sun‧to
askel as‧kel
aikanaan ai‧ka‧naan
äänestää ää‧nes‧tää
välitä vä‧li‧tä
väline vä‧li‧ne
väki vä‧ki
vika vi‧ka
viini vii‧ni
velka vel‧ka
vedellä ve‧del‧lä
vaihtoehto vaih‧to‧eh‧to
vahinko va‧hin‧ko
vaatia vaa‧ti‧a
unioni u‧ni‧o‧ni
uhka uh‧ka
tuuli tuu‧li
tuore tuo‧re
tuomita tuo‧mi‧ta
tuoda tuo‧da
tuntua tun‧tu‧a
tunti tun‧ti
tumma tum‧ma
tuleva tu‧le‧va
todistaa to‧dis‧taa
tietoinen tie‧toi‧nen
tielle tiel‧le
tiedekunta tie‧de‧kun‧ta
tekisi te‧ki‧si
tekemässä te‧ke‧mäs‧sä
tehokas te‧ho‧kas
talous ta‧lo‧us
takaa ta‧kaa
sukua su‧ku‧a
sopiva so‧pi‧va
silmä sil‧mä
selkä sel‧kä
savu sa‧vu
ruskea rus‧ke‧a
ruotsalainen ruot‧sa‧lai‧nen
rooli roo‧li
rikas ri‧kas
riippuen riip‧pu‧en
pysyvä py‧sy‧vä
puute puu‧te
pupu pu‧pu
puoli puo‧li
perustaa pe‧rus‧taa
perhe per‧he
pelko pel‧ko
panna pan‧na
paluu pa‧luu
otin o‧tin
oppia op‧pi‧a
oikeutettu oi‧ke‧u‧tet‧tu
ohjaaja oh‧jaa‧ja
näytetään näy‧te‧tään
nälkä näl‧kä
näköinen nä‧köi‧nen
nousu nou‧su
nopea no‧pe‧a
myi myi
majuri ma‧ju‧ri
lyhyt ly‧hyt
luku lu‧ku
luettelo lu‧et‧te‧lo
linna lin‧na
lehden leh‧den
laita lai‧ta
käsitys kä‧si‧tys
käsittää kä‧sit‧tää
kuvitella ku‧vi‧tel‧la
kuule kuu‧le
kurssi kurs‧si
kuolema kuo‧le‧ma
koski kos‧ki
kokous ko‧ko‧us
koira koi‧ra
kirje kir‧je
kerta ker‧ta
kerro ker‧ro
katu ka‧tu
kasvattaa kas‧vat‧taa
kappale kap‧pa‧le
kansanedustaja kan‧san‧e‧dus‧ta‧ja
kala ka‧la
kahvi kah‧vi
juttu jut‧tu
juosta juos‧ta
jatkua jat‧ku‧a
jalan ja‧lan
iho i‧ho
haluta ha‧lu‧ta
halpa hal‧pa
hallinnassa hal‧lin‧nas‧sa
este es‧te
epäillä e‧päil‧lä
elokuva e‧lo‧ku‧va
eli e‧li
ehdottaa eh‧dot‧taa
ampui am‧pui
allekirjoittanut al‧le‧kir‧joit‧ta‧nut
ystävä ys‧tä‧vä
ympäristö ym‧pä‧ris‧tö
ylpeä yl‧pe‧ä
yksikkö yk‧sik‧kö
vuori vuo‧ri
voittaja voit‧ta‧ja
virhe vir‧he
vihreä vih‧re‧ä
vihainen vi‧hai‧nen
vetää ve‧tää
verta ver‧ta
verrata ver‧ra‧ta
veli ve‧li
vauva vau‧va
vaunu vau‧nu
valvoa val‧vo‧a
vakava va‧ka‧va
vahvistaminen vah‧vis‧ta‧mi‧nen
vaellus va‧el‧lus
tutkia tut‧ki‧a
tuote tuo‧te
tukka tuk‧ka
toimittaja toi‧mit‧ta‧ja
teos te‧os
teho te‧ho
tauti tau‧ti
tasoa ta‧so‧a
tarina ta‧ri‧na
taitava tai‧ta‧va
syöttää syöt‧tää
suosittu suo‧sit‧tu
suositella suo‧si‧tel‧la
sulkea sul‧ke‧a
suhde suh‧de
sota so‧ta
sopia so‧pi‧a
sisältyä si‧säl‧ty‧ä
silta sil‧ta
sataa sa‧taa
sarja sar‧ja
riippuvainen riip‧pu‧vai‧nen
rakenne ra‧ken‧ne
raja ra‧ja
pää pää
pukeutua pu‧ke‧u‧tu‧a
puhelin pu‧he‧lin
prosessi pro‧ses‧si
porukka po‧ruk‧ka
pohtia poh‧ti‧a
pettymys pet‧ty‧mys
pesä pe‧sä
pehmeä peh‧me‧ä
paperi pa‧pe‧ri
palauttaa pa‧la‧ut‧taa
pakkanen pak‧ka‧nen
paavi paa‧vi
osata o‧sa‧ta
osasto o‧sas‧to
osapuoli o‧sa‧puo‧li
nähtävillä näh‧tä‧vil‧lä
nousta nous‧ta
naaras naa‧ras
merkitä mer‧ki‧tä
löytäminen löy‧tä‧mi‧nen
lämmin läm‧min
liitto liit‧to
leppäkerttu lep‧pä‧kert‧tu
leikki leik‧ki
lattia lat‧ti‧a
laitos lai‧tos
laatu laa‧tu
kävellä kä‧vel‧lä
käsi kä‧si
käräjäoikeus kä‧rä‧jä‧oi‧ke‧us
kysyntä ky‧syn‧tä
kuukausi kuu‧kau‧si
kunta kun‧ta
kumppani kump‧pa‧ni
kreivi krei‧vi
kolmannes kol‧man‧nes
kiitollinen kii‧tol‧li‧nen
kiire kii‧re
keskusta kes‧kus‧ta
kerätä ke‧rä‧tä
kerran ker‧ran
kenkiä ken‧ki‧ä
kausi kau‧si
kanta kan‧ta
joi joi
johto joh‧to
jaksaa jak‧saa
istua is‧tu‧a
huomaamatta huo‧maa‧mat‧ta
huippuyliopisto huip‧pu‧y‧li‧o‧pis‧to
historia his‧to‧ri‧a
hieno hie‧no
etäisyys e‧täi‧syys
eivät ei‧vät
edetä e‧de‧tä
bileet bi‧leet
autolla au‧tol‧la
asua a‧su‧a
ase a‧se
aloite a‧loi‧te
ala a‧la
aktiivinen ak‧tii‧vi‧nen
yksityinen yk‧si‧tyi‧nen
yksittäinen yk‧sit‧täi‧nen
värit vä‧rit
värinen vä‧ri‧nen
viipymättä vii‧py‧mät‧tä
viides vii‧des
vene ve‧ne
vastainen vas‧tai‧nen
varjo var‧jo
vakuuttaa va‧kuut‧taa
vaarallinen vaa‧ral‧li‧nen
uutinen uu‧ti‧nen
uni u‧ni
ulkoministeri ul‧ko‧mi‧nis‧te‧ri
tähden täh‧den
tytär ty‧tär
turvallinen tur‧val‧li‧nen
tunnustaa tun‧nus‧taa
tullen tul‧len
tulevaisuus tu‧le‧vai‧suus
tuki tu‧ki
totuus to‧tuus
toista tois‧ta
todistus to‧dis‧tus
tiukka tiuk‧ka
tietty tiet‧ty
tie tie
testi tes‧ti
tekijä te‧ki‧jä
tekemättä te‧ke‧mät‧tä
teema tee‧ma
tarvittu tar‧vit‧tu
tarvita tar‧vi‧ta
tanssia tans‧si‧a
taloudellinen ta‧lo‧u‧del‧li‧nen
tallentaa tal‧len‧taa
sävy sä‧vy
syitä syi‧tä
suuruinen suu‧rui‧nen
suunta suun‧ta
sulje sul‧je
soveltamisala so‧vel‧ta‧mis‧a‧la
soitin soi‧tin
selällään se‧läl‧lään
seksuaalinen sek‧su‧aa‧li‧nen
sali sa‧li
salaatti sa‧laat‧ti
saava saa‧va
saaristo saa‧ris‧to
saariryhmä saa‧ri‧ryh‧mä
ritari ri‧ta‧ri
reilu rei‧lu
rasvaa ras‧vaa
rantaa ran‧taa
rakkaus rak‧ka‧us
rakas ra‧kas
raha ra‧ha
päättäminen päät‧tä‧mi‧nen
pyöriä pyö‧ri‧ä
puolustaa puo‧lus‧taa
puisto puis‧to
puhuminen pu‧hu‧mi‧nen
puheenvuoro pu‧heen‧vuo‧ro
pomo po‧mo
poistaa pois‧taa
poikkeus poik‧ke‧us
pistää pis‧tää
pelätä pe‧lä‧tä
paska pas‧ka
pala pa‧la
ostaminen os‧ta‧mi‧nen
oranssi o‧rans‧si
olleiden ol‧lei‧den
ohje oh‧je
ohjata oh‧ja‧ta
näkökulma nä‧kö‧kul‧ma
näkyä nä‧ky‧ä
nähtävissä näh‧tä‧vis‧sä
normaali nor‧maa‧li
norjalainen nor‧ja‧lai‧nen
nokka nok‧ka
nenä ne‧nä
neljäs nel‧jäs
nauraa nau‧raa
myönteinen myön‧tei‧nen
muoto muo‧to
muokata muo‧ka‧ta
muodostua muo‧dos‧tu‧a
mittainen mit‧tai‧nen
minkälainen min‧kä‧lai‧nen
mestari mes‧ta‧ri
merta mer‧ta
meri me‧ri
menettää me‧net‧tää
menestyä me‧nes‧ty‧ä
markkinat mark‧ki‧nat
maksa mak‧sa
mainita mai‧ni‧ta
lääkäri lää‧kä‧ri
lääke lää‧ke
lämpeneminen läm‧pe‧ne‧mi‧nen
luopua luo‧pu‧a
luo luo
loppu lop‧pu
lisä li‧sä
liittovaltio liit‧to‧val‧ti‧o
liikenne lii‧ken‧ne
lentää len‧tää
lentokone len‧to‧ko‧ne
lento len‧to
leipä lei‧pä
laulu lau‧lu
laki la‧ki
laajentaa laa‧jen‧taa
laaja laa‧ja
kääntää kään‧tää
käsittely kä‧sit‧te‧ly
käsite kä‧si‧te
kuvata ku‧va‧ta
kuvaaminen ku‧vaa‧mi‧nen
kuunnella kuun‧nel‧la
kuori kuo‧ri
kuolla kuol‧la
kuningaskunta ku‧nin‧gas‧kun‧ta
kuningasgambiitti ku‧nin‧gas‧gam‧biit‧ti
kulta kul‧ta
kulkea kul‧ke‧a
kukkia kuk‧ki‧a
kova ko‧va
kotouttaminen ko‧to‧ut‧ta‧mi‧nen
koskea kos‧ke‧a
korkea kor‧ke‧a
kokoelma ko‧ko‧el‧ma
koittaa koit‧taa
kohde koh‧de
koetin ko‧e‧tin
koe ko‧e
kiskoa kis‧ko‧a
kirjakauppa kir‧ja‧kaup‧pa
kirjain kir‧jain
kilpailu kil‧pai‧lu
kiista kiis‧ta
kielletty kiel‧let‧ty
kevyt ke‧vyt
keskus kes‧kus
keskimääräinen kes‧ki‧mää‧räi‧nen
kauppakorkeakoulu kaup‧pa‧kor‧ke‧a‧kou‧lu
katua ka‧tu‧a
kastike kas‧ti‧ke
kapea ka‧pe‧a
kansalainen kan‧sa‧lai‧nen
järjestö jär‧jes‧tö
jälkeinen jäl‧kei‧nen
juoksemaan juok‧se‧maan
joulu jou‧lu
itsetunto it‧se‧tun‧to
istuva is‧tu‧va
istuin is‧tuin
ilmoitus il‧moi‧tus
ilmiö il‧mi‧ö
ilmastointi il‧mas‧toin‧ti
ilmaista il‧mais‧ta
häät häät
humalassa hu‧ma‧las‧sa
hullu hul‧lu
hevonen he‧vo‧nen
hahmo hah‧mo
haara haa‧ra
evätä e‧vä‧tä
etu e‧tu
erikoinen e‧ri‧koi‧nen
episodi e‧pi‧so‧di
edellytys e‧del‧ly‧tys
dekaani de‧kaa‧ni
asiakirja a‧si‧a‧kir‧ja
arvoinen ar‧voi‧nen
alko al‧ko
aikoinaan ai‧koi‧naan
aihe ai‧he
ystävänsä ys‧tä‧vän‧sä
ystävällinen ys‧tä‧väl‧li‧nen
yllätys yl‧lä‧tys
ylläpitää yl‧lä‧pi‧tää
yksinkertainen yk‧sin‧ker‧tai‧nen
yhtenäinen yh‧te‧näi‧nen
yhdistetty yh‧dis‧tet‧ty
välähtää vä‧läh‧tää
välittää vä‧lit‧tää
väitöskirja väi‧tös‧kir‧ja
voittaa voit‧taa
voi voi
vitsi vit‧si
virkamies vir‧ka‧mies
viestiä vies‧ti‧ä
vieras vie‧ras
vie vie
vauhti vauh‧ti
vatsa vat‧sa
vastaan vas‧taan
vasen va‧sen
varojen va‧ro‧jen
varoittaa va‧roit‧taa
vapauttaa va‧pa‧ut‧taa
vapaus va‧pa‧us
valuma-alue va‧lu‧ma‧a‧lu‧e
valmistua val‧mis‧tu‧a
valitsin va‧lit‧sin
vaikuttava vai‧kut‧ta‧va
ulkoinen ul‧koi‧nen
uhri uh‧ri
tähti täh‧ti
tyyppi tyyp‧pi
tylsä tyl‧sä
tyhmä tyh‧mä
tuomari tuo‧ma‧ri
torstai tors‧tai
tomaatit to‧maa‧tit
toistaa tois‧taa
toisi toi‧si
tietokone tie‧to‧ko‧ne
tiedottaja tie‧dot‧ta‧ja
teoria te‧o‧ri‧a
tenori te‧no‧ri
tekemästä te‧ke‧mäs‧tä
teitä tei‧tä
tehden teh‧den
teatteri te‧at‧te‧ri
tavara ta‧va‧ra
tarkastus tar‧kas‧tus
tanssii tans‧sii
talli tal‧li
taivas tai‧vas
tahtoa tah‧to‧a
taapero taa‧pe‧ro
säde sä‧de
syntyä syn‧ty‧ä
syksy syk‧sy
sydän sy‧dän
sydämen sy‧dä‧men
suuruus suu‧ruus
suunnittelu suun‧nit‧te‧lu
suunnitella suun‧ni‧tel‧la
suora suo‧ra
suku su‧ku
sukeltaminen su‧kel‧ta‧mi‧nen
sukeltaa su‧kel‧taa
suhteellinen suh‧teel‧li‧nen
sovittu so‧vit‧tu
soida soi‧da
sisämarkkinat si‧sä‧mark‧ki‧nat
sisältö si‧säl‧tö
sipuli si‧pu‧li
sininen si‧ni‧nen
silittää si‧lit‧tää
siivota sii‧vo‧ta
seulonta seu‧lon‧ta
setä se‧tä
selvitä sel‧vi‧tä
satama sa‧ta‧ma
sallia sal‧li‧a
sairastua sai‧ras‧tu‧a
sairaalan sai‧raa‧lan
sairaala sai‧raa‧la
saattaa saat‧taa
saataville saa‧ta‧vil‧le
saadakseni saa‧dak‧se‧ni
rytmi ryt‧mi
rivi ri‧vi
riippumaton riip‧pu‧ma‧ton
rauhassa rau‧has‧sa
rankka rank‧ka
rakennus ra‧ken‧nus
rajoittaa ra‧joit‧taa
raikas rai‧kas
rahoitus ra‧hoi‧tus
radio ra‧di‧o
pörssi pörs‧si
päättyä päät‧ty‧ä
päätoimittaja pää‧toi‧mit‧ta‧ja
päällikkö pääl‧lik‧kö
pätkä pät‧kä
purkaa pur‧kaa
puristaa pu‧ris‧taa
postaus pos‧ta‧us
poikia poi‧ki‧a
poiketa poi‧ke‧ta
pohja poh‧ja
pituinen pi‧tui‧nen
pilata pi‧la‧ta
pestä pes‧tä
perjantai per‧jan‧tai
periaate pe‧ri‧aa‧te
pelottaa pe‧lot‧taa
paratiisi pa‧ra‧tii‧si
parantaminen pa‧ran‧ta‧mi‧nen
pannu pan‧nu
pallo pal‧lo
paljastaa pal‧jas‧taa
paksu pak‧su
paistaa pais‧taa
pahin pa‧hin
ottaneet ot‧ta‧neet
ottaminen ot‧ta‧mi‧nen
osoite o‧soi‧te
opetella o‧pe‧tel‧la
onni on‧ni
omistaja o‧mis‧ta‧ja
omena o‧me‧na
ojentaa o‧jen‧taa
oikeudet oi‧ke‧u‧det
ohut o‧hut
näyttö näyt‧tö
näky nä‧ky
nukkua nuk‧ku‧a
nimetä ni‧me‧tä
myöhä myö‧hä
muuttua muut‧tu‧a
muotoilu muo‧toi‧lu
munii mu‧nii
munia mu‧ni‧a
monitori mo‧ni‧to‧ri
mitata mi‧ta‧ta
minuutti mi‧nuut‧ti
ministeri mi‧nis‧te‧ri
metsäyhtiö met‧sä‧yh‧ti‧ö
mennyt men‧nyt
mennessä men‧nes‧sä
melodinen me‧lo‧di‧nen
maistaa mais‧taa
lyö lyö
luonne luon‧ne
lohi lo‧hi
lisääminen li‧sää‧mi‧nen
linnoitus lin‧noi‧tus
linja lin‧ja
liittää liit‧tää
liikuttaa lii‧kut‧taa
liikkua liik‧ku‧a
liike lii‧ke
lihava li‧ha‧va
levy le‧vy
levitä le‧vi‧tä
lennähtää len‧näh‧tää
leivos lei‧vos
lehti leh‧ti
huomioon huo‧mi‧oon
maan maan
a a
oli oli
olemassa o‧le‧mas‧sa
haluan ha‧lu‧an
sain sa‧in
i i
meni me‧ni
päätti päät‧ti
lasten la‧sten
oven oven
versio ver‧si‧o
selvää sel‧vää
kuninkaan ku‧nin‧kaan
sanat sa‧nat
teen teen
joukkue jouk‧ku‧e
viimeisen vii‧mei‧sen
pelin pe‧lin
illan il‧lan
historian his‧to‧ri‧an
hetki het‧ki
talon ta‧lon
